period,cluster
1999_2005,C922
1999_2005,C39
1999_2005,C81
1999_2005,C605
1999_2005,C241
1999_2005,C198
1999_2005,C982
1999_2005,C83
1999_2005,C54
1999_2005,C301
1999_2005,C768
1999_2005,C351
1999_2005,C974
1999_2005,C408
1999_2005,C128
1999_2005,C85
1999_2005,C286
1999_2005,C171
1999_2005,C450
1999_2005,C165
1999_2005,C486
1999_2005,C822
1999_2005,C906
1999_2005,C960
1999_2005,C615
1999_2005,C328
1999_2005,C384
1999_2005,C649
1999_2005,C1048
1999_2005,C662
1999_2005,C675
1999_2005,C945
1999_2005,C382
1999_2005,C554
1999_2005,C975
1999_2005,C629
1999_2005,C828
1999_2005,C875
1999_2005,C764
1999_2005,C560
1999_2005,C643
1999_2005,C485
1999_2005,C1554
1999_2005,C1544
1999_2005,C599
1999_2005,C291
1999_2005,C1039
1999_2005,C1045
1999_2005,C907
1999_2005,C546
1999_2005,C845
1999_2005,C369
1999_2005,C1347
1999_2005,C881
1999_2005,C47
1999_2005,C169
1999_2005,C971
1999_2005,C146
1999_2005,C72
1999_2005,C17
1999_2005,C407
1999_2005,C420
1999_2005,C142
1999_2005,C539
1999_2005,C417
1999_2005,C1218
1999_2005,C1526
1999_2005,C895
1999_2005,C1099
1999_2005,C1140
1999_2005,C1032
1999_2005,C1379
1999_2005,C1341
1999_2005,C329
1999_2005,C1062
1999_2005,C126
1999_2005,C397
1999_2005,C954
1999_2005,C195
1999_2005,C358
1999_2005,C121
1999_2005,C56
1999_2005,C273
1999_2005,C67
1999_2005,C27
1999_2005,C316
1999_2005,C352
1999_2005,C968
1999_2005,C915
1999_2005,C393
1999_2005,C666
1999_2005,C905
1999_2005,C293
1999_2005,C398
1999_2005,C207
1999_2005,C682
1999_2005,C1390
1999_2005,C232
1999_2005,C388
1999_2005,C323
1999_2005,C558
1999_2005,C551
1999_2005,C847
1999_2005,C507
1999_2005,C791
1999_2005,C1081
1999_2005,C510
1999_2005,C626
1999_2005,C846
1999_2005,C963
1999_2005,C473
1999_2005,C436
1999_2005,C784
1999_2005,C1611
1999_2005,C1545
1999_2005,C1165
1999_2005,C428
1999_2005,C1333
1999_2005,C556
1999_2005,C1129
1999_2005,C704
1999_2005,C825
1999_2005,C1185
1999_2005,C1608
1999_2005,C1370
1999_2005,C1385
1999_2005,C916
1999_2005,C107
1999_2005,C647
1999_2005,C137
1999_2005,C480
1999_2005,C361
1999_2005,C1377
1999_2005,C1033
1999_2005,C1233
1999_2005,C511
1999_2005,C15
1999_2005,C812
1999_2005,C66
1999_2005,C601
1999_2005,C1082
1999_2005,C325
1999_2005,C33
1999_2005,C176
1999_2005,C7
1999_2005,C43
1999_2005,C257
1999_2005,C710
1999_2005,C961
1999_2005,C944
1999_2005,C462
1999_2005,C900
1999_2005,C127
1999_2005,C700
1999_2005,C343
1999_2005,C130
1999_2005,C656
1999_2005,C410
1999_2005,C1221
1999_2005,C425
1999_2005,C942
1999_2005,C909
1999_2005,C638
1999_2005,C311
1999_2005,C1297
1999_2005,C1586
1999_2005,C745
1999_2005,C218
1999_2005,C472
1999_2005,C404
1999_2005,C274
1999_2005,C561
1999_2005,C902
1999_2005,C258
1999_2005,C332
1999_2005,C893
1999_2005,C772
1999_2005,C871
1999_2005,C443
1999_2005,C513
1999_2005,C716
1999_2005,C913
1999_2005,C295
1999_2005,C908
1999_2005,C1144
1999_2005,C660
1999_2005,C831
1999_2005,C896
1999_2005,C1174
1999_2005,C552
1999_2005,C1593
1999_2005,C1227
1999_2005,C808
1999_2005,C751
1999_2005,C1195
1999_2005,C1602
1999_2005,C964
1999_2005,C818
1999_2005,C451
1999_2005,C792
1999_2005,C208
1999_2005,C182
1999_2005,C20
1999_2005,C108
1999_2005,C804
1999_2005,C809
1999_2005,C1151
