stable_fips,DQ_prop_garbage,prop_light,pct_overd_miss,prop_all_comp,n_cert,iso_score,lof_score,km_cluster,iso_rank,lof_rank,anomaly_flag
20199,0.22330222580199666,0.26954967799326884,0.16666666666666666,0.8130768912088823,28.086956521739133,0.598299211313502,1.742614958288412,2,717,162,TRUE
20201,0.19976829482054934,0.291859293424699,0.12179487179487179,0.7964933539366501,94.625,0.5850888027276595,1.5655042758172206,2,1921,280,FALSE
20203,0.32758469056750716,0.28994216366052655,0,0.8045557390952128,15.5,0.608258336443824,1.3335790120565563,2,486,738,FALSE
20205,0.23894941931727948,0.3049461402732649,0.25,0.7842300575392851,25.95,0.5835074912755409,1.2139273033017075,2,2541,1360,FALSE
20207,0.31242247923449856,0.30535048128747655,0.2,0.7824870591511458,10.1,0.6094117384959833,1.5658608152348277,2,467,278,FALSE
20209,0.21280698606814977,0.304609414608327,0.0815079365079365,0.7866313092170606,286.95,0.5827972961372495,1.0301747913993378,2,3058,3551,FALSE
21001,0.21472924113160125,0.3188787618757679,0.07142857142857144,0.790478311510471,42.041666666666664,0.5833495953795389,1.1301970738416862,2,2640,2205,FALSE
21003,0.20705889873722993,0.3009313136650448,0.13095238095238096,0.7925854018000886,125.66666666666666,0.5823243129924944,1.1601884420808437,2,3667,1893,FALSE
21005,0.24837098991150378,0.30339523218946784,0.17857142857142855,0.7909596496008179,56.04166666666667,0.5828761640030672,1.1258677462559838,2,2983,2254,FALSE
21007,0.22817203965835758,0.2979212445328831,0,0.7950679515559547,21.166666666666668,0.5849304789321149,1.0904450654202655,2,1968,2713,FALSE
21009,0.21806632223511827,0.29519151269698124,0.20416666666666666,0.7941075209981561,89.45833333333334,0.5830339317548621,1.222583080374296,2,2876,1301,FALSE
21011,0.21320226158079092,0.3194358744552973,0.125,0.7935053194855295,36.75,0.5821667372620394,1.0847677995252736,2,4022,2776,FALSE
21013,0.19662374969244867,0.30405638749378067,0.0588235294117647,0.7937164830443446,72.16666666666666,0.5844557645516225,1.271688211702463,2,2122,995,FALSE
21015,0.21089494010145995,0.30305947515403325,0.21274509803921568,0.7921017508377602,139.75,0.5824819313741509,1.1254546461756685,2,3403,2260,FALSE
21017,0.23585273487734038,0.3126773069470135,0.32142857142857145,0.7958287387433477,50.95833333333333,0.5840604635481264,1.1532724757149206,2,2282,1956,FALSE
21019,0.20736839018221387,0.31304836436854805,0.1718500797448166,0.7923609452921684,142.625,0.5824819313741509,1.0402793603220444,2,3404,3406,FALSE
21021,0.22166928241827552,0.3141348879073373,0.13333333333333333,0.7901693643640311,67.54166666666667,0.5822455197965881,1.0049066115189247,2,3827,3897,FALSE
21023,0.24647486657532777,0.27836949506400366,0.14285714285714288,0.7924055256955511,26.958333333333332,0.5924983806248955,1.4547130107726136,2,949,431,FALSE
21025,0.21986641835030465,0.2964283255287364,0.25,0.7948084511823581,33.958333333333336,0.5829550425417899,1.232988308280684,2,2928,1228,FALSE
21027,0.23553910436651773,0.3059510594579154,0.04166666666666666,0.791113755446514,49,0.585960349923784,1.0580965803294768,2,1679,3142,FALSE
21029,0.2065978880744704,0.30241072221965726,0.1575,0.7955834817633273,112.25,0.5827972961372495,1.2568953933574705,2,3059,1080,FALSE
21031,0.24072741793062313,0.3183847257564532,0.22222222222222224,0.7899531819519933,33.875,0.582718438942893,1.1799311198909657,2,3134,1681,FALSE
21033,0.23614095294865636,0.32683874954077347,0.25,0.7935983614836999,39.5,0.583902418018994,1.2927979428929752,2,2354,892,FALSE
21035,0.22508791372845624,0.32237000862330345,0.16666666666666666,0.7946323501465794,106.83333333333334,0.5821667372620394,1.2202772152244392,2,4023,1309,FALSE
21037,0.22182249566521645,0.3113481645103891,0.11714285714285716,0.7914369159180893,151.70833333333331,0.5823243129924944,0.9792523525964392,2,3668,4176,FALSE
21039,0.25010737054061427,0.29561686489669775,0,0.794883663998555,59.91666666666668,0.5854055788913914,1.1859968016063456,2,1823,1617,FALSE
21041,0.20576274188475796,0.30834607312764,0,0.7871951453904732,31.291666666666664,0.5840604635481264,1.0611210137230254,2,2283,3096,FALSE
21043,0.2278035011525104,0.31227428571371896,0.10416666666666669,0.7903827103881307,75.91666666666666,0.582403116851201,1.0087546739592244,2,3529,3855,FALSE
21045,0.239589180063725,0.31661822056514377,0.14814814814814814,0.7935373266011243,42.041666666666664,0.582403116851201,1.1631354248055725,2,3530,1863,FALSE
21047,0.21188192808889303,0.2950863976771112,0.17719298245614035,0.7915621964004326,109.66666666666666,0.582718438942893,1.2114304393638855,2,3135,1383,FALSE
21049,0.2349627673467635,0.30719405352312484,0.05952380952380952,0.7923866842285379,71.91666666666666,0.5838234112926963,1.0638463206978954,2,2389,3058,FALSE
